Date,Hour,Minute,Weekday,Weekday_number,Is_lesson,Online_friends
27,18,43,Thursday,3,0,34
27,18,44,Thursday,3,0,31
27,18,45,Thursday,3,0,27
27,18,46,Thursday,3,0,31
27,18,47,Thursday,3,0,34
27,18,48,Thursday,3,0,33
27,18,49,Thursday,3,0,28
27,18,50,Thursday,3,0,31
27,18,51,Thursday,3,0,30
27,18,52,Thursday,3,0,31
27,18,53,Thursday,3,0,30
27,18,54,Thursday,3,0,28
27,18,55,Thursday,3,0,28
27,18,56,Thursday,3,0,33
27,18,57,Thursday,3,0,34
27,18,58,Thursday,3,0,32
27,18,59,Thursday,3,0,30
27,19,0,Thursday,3,0,30
27,19,1,Thursday,3,0,28
27,19,2,Thursday,3,0,27
27,19,3,Thursday,3,0,27
27,19,4,Thursday,3,0,30
27,19,5,Thursday,3,0,34
27,19,6,Thursday,3,0,31
27,19,7,Thursday,3,0,30
27,19,8,Thursday,3,0,27
27,19,9,Thursday,3,0,32
27,19,10,Thursday,3,0,35
27,19,11,Thursday,3,0,37
27,19,12,Thursday,3,0,38
27,19,13,Thursday,3,0,39
27,19,14,Thursday,3,0,40
27,19,15,Thursday,3,0,40
27,19,16,Thursday,3,0,44
27,19,17,Thursday,3,0,44
27,19,18,Thursday,3,0,40
27,19,19,Thursday,3,0,43
27,19,20,Thursday,3,0,36
27,19,21,Thursday,3,0,37
27,19,22,Thursday,3,0,36
27,19,23,Thursday,3,0,35
27,19,24,Thursday,3,0,32
27,19,25,Thursday,3,0,33
27,19,26,Thursday,3,0,28
27,19,27,Thursday,3,0,29
27,19,28,Thursday,3,0,28
27,19,29,Thursday,3,0,31
27,19,30,Thursday,3,0,32
27,19,31,Thursday,3,0,32
27,19,32,Thursday,3,0,39
27,19,33,Thursday,3,0,38
27,19,34,Thursday,3,0,30
27,19,35,Thursday,3,0,34
27,19,36,Thursday,3,0,37
27,19,37,Thursday,3,0,43
27,19,38,Thursday,3,0,47
27,19,39,Thursday,3,0,42
27,19,40,Thursday,3,0,45
27,19,41,Thursday,3,0,41
27,19,42,Thursday,3,0,42
27,19,43,Thursday,3,0,40
27,19,44,Thursday,3,0,40
27,19,45,Thursday,3,0,41
27,19,46,Thursday,3,0,40
27,19,47,Thursday,3,0,42
27,19,48,Thursday,3,0,39
27,19,49,Thursday,3,0,46
27,19,50,Thursday,3,0,45
27,19,51,Thursday,3,0,43
27,19,52,Thursday,3,0,42
27,19,53,Thursday,3,0,40
27,19,54,Thursday,3,0,40
27,19,55,Thursday,3,0,38
27,19,56,Thursday,3,0,34
27,19,57,Thursday,3,0,40
27,19,58,Thursday,3,0,40
27,19,59,Thursday,3,0,42
27,20,0,Thursday,3,0,34
27,20,1,Thursday,3,0,40
27,20,2,Thursday,3,0,46
27,20,3,Thursday,3,0,45
27,20,4,Thursday,3,0,45
27,20,5,Thursday,3,0,42
27,20,6,Thursday,3,0,43
27,20,7,Thursday,3,0,42
27,20,8,Thursday,3,0,42
27,20,9,Thursday,3,0,34
27,20,10,Thursday,3,0,33
27,20,11,Thursday,3,0,35
27,20,12,Thursday,3,0,38
27,20,13,Thursday,3,0,37
27,20,14,Thursday,3,0,32
27,20,15,Thursday,3,0,36
27,20,16,Thursday,3,0,36
27,20,17,Thursday,3,0,40
27,20,18,Thursday,3,0,37
27,20,19,Thursday,3,0,41
27,20,20,Thursday,3,0,41
27,20,21,Thursday,3,0,49
27,20,22,Thursday,3,0,53
27,20,23,Thursday,3,0,49
27,20,24,Thursday,3,0,44
27,20,25,Thursday,3,0,38
27,20,26,Thursday,3,0,40
27,20,27,Thursday,3,0,38
27,20,28,Thursday,3,0,36
